index	cardNumber	startDate	expiration	lost	blocked	pin	balance
1	78503 	2018-03-05	2023-03-04	0	0	912012	38431.29
2	47876 	2014-06-02	2019-06-01	0	0	306762	3506.98
3	33246 	2017-04-16	2022-04-15	1	0	408768	29916.01
4	31230 	2019-03-19	2024-03-18	0	0	452794	20515.37
5	47399 	2018-01-30	2023-01-29	0	1	500153	42460.83
6	12306 	2020-02-20	2025-02-19	0	1	679971	46341.51
7	71096 	2021-03-14	2026-03-13	1	0	517671	32582.55
8	99852 	2019-12-22	2024-12-21	1	0	769323	13950.18
9	95889 	2017-12-20	2022-12-19	0	0	912233	9858.15
10	86391 	2019-12-21	2024-12-20	0	0	512360	46787.23
11	51471 	2019-12-22	2024-12-21	1	0	520221	47209.41
12	26165 	2016-05-17	2021-05-16	0	1	953776	32405.56
13	84628 	2017-03-20	2022-03-19	0	0	439587	23355.71
14	55867 	2015-09-08	2020-09-07	0	0	173514	11421.52
15	58516 	2014-08-30	2019-08-29	0	0	485613	37438.03
16	77777 	2011-03-05	2016-03-04	1	1	498690	25534.6
17	61671 	2021-08-18	2026-08-17	0	1	728762	22307.1
18	76911 	2022-04-05	2027-04-04	1	0	914656	27666.44
19	72330 	2019-12-22	2024-12-21	0	1	731673	26391.92
20	52883 	2015-09-08	2020-09-07	0	0	564738	30275.12
21	38023 	2020-02-20	2025-02-19	0	0	848102	49918.27
22	84297 	2018-01-30	2023-01-29	0	1	901580	24994.09
23	24534 	2019-05-01	2024-04-30	0	0	901043	15185.9
